seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
10,B,conflict_id,1080,12519,37269,1.333,2177.9,9,13,0,0,0,106,0,0,4,38,38,0,5,71310.0,0.0,34030.0,7.326,14684405.3,15143
11,A,conflict_id,1080,13107,41337,1.667,1245.2,9,9,0,0,0,91,0,0,5,39,39,32,1,66880.0,4350.0,29650.0,2.907,3520306.1,14749
11,B,conflict_id,1080,12217,37655,1.333,2044.0,9,9,0,0,0,106,0,0,1,39,39,0,1,70970.0,0.0,33790.0,7.307,14575286.0,20702
12,A,conflict_id,1080,11975,41436,1.667,1968.2,9,13,0,0,0,69,0,0,5,35,35,38,2,59970.0,5420.0,24080.0,3.741,3744173.1,14559
12,B,conflict_id,1080,12182,37563,1.333,2910.1,10,13,0,0,0,113,0,0,5,41,41,0,2,71250.0,0.0,33980.0,7.354,14858893.6,17937
13,A,conflict_id,1080,10348,45954,1.667,1646.0,9,10,0,0,0,92,0,0,8,46,46,50,1,65550.0,8700.0,21010.0,3.201,4419981.7,14626
13,B,conflict_id,1080,12695,37392,1.333,1615.6,10,10,0,0,0,108,0,0,2,41,41,0,1,71030.0,0.0,34030.0,7.338,14799623.2,19020
14,A,conflict_id,1080,15338,48798,1.0,645.5,9,4,0,0,0,51,0,0,0,36,36,40,2,64990.0,11240.0,29600.0,3.453,2924165.5,14593
14,B,conflict_id,1080,12561,37309,1.333,2413.3,10,4,0,0,0,99,0,0,8,40,40,0,2,71280.0,0.0,34040.0,7.348,14836405.8,17937
15,A,conflict_id,1080,8288,47026,1.0,514.4,9,3,0,0,0,62,0,0,9,29,29,24,3,74850.0,12550.0,22950.0,3.094,4631417.9,15989
15,B,conflict_id,1080,11873,36211,1.333,823.4,9,3,0,0,0,101,0,0,1,39,39,0,3,70700.0,0.0,33680.0,7.297,14336642.8,16104
